Donor_ID,Donor_SMILES,PCE
1,CCCCCCc1c(C#CC2=C3CCC4N3[Zn@@]35n6c2ccc6C(=C2N3C(CC2)C(=c2n5c(=C4c3c(C)cc(cc3C)C)cc2)C#Cc2sc(c(c2CCCCCC)CCCCCC)C=C(C#N)C#N)c2c(C)cc(cc2C)C)sc(c1CCCCCC)C=C(C#N)C#N,1.36
1,CCCCCCc1c(C#CC2=C3CCC4N3[Zn@@]35n6c2ccc6C(=C2N3C(CC2)C(=c2n5c(=C4c3c(C)cc(cc3C)C)cc2)C#Cc2sc(c(c2CCCCCC)CCCCCC)C=C(C#N)C#N)c2c(C)cc(cc2C)C)sc(c1CCCCCC)C=C(C#N)C#N,1.24
2,CCCCCCc1c(/C=C/c2sc(c(c2CCCCCC)CCCCCC)C=C(C#N)C#N)sc(c1CCCCCC)C#CC1=C2CCC3N2[Zn@]24n5c1ccc5C(=C1N2C(CC1)C(=c1n4c(=C3c2c(C)cc(cc2C)C)cc1)C#Cc1sc(c(c1CCCCCC)CCCCCC)/C=C/c1sc(c(c1CCCCCC)CCCCCC)C=C(C#N)C#N)c1c(C)cc(cc1C)C,3.16
3,CCCC[C@H](Cn1c2cc(ccc2c2c1c1c(c3c2n(C[C@H](CCCC)CC)c2c3cccc2)n(c2c1cccc2)C[C@@H](CCCC)CC)c1ccc(s1)c1ccc(c2c1nsn2)c1ccc(s1)c1ccc2c(c1)n(C[C@H](CCCC)CC)c1c2c2n(C[C@@H](CCCC)CC)c3c(c2c2c1c1ccccc1n2C[C@H](CCCC)CC)cccc3)CC,2.1
4,CCCC[C@H](Cn1c2cc(ccc2c2c1c1c(c3c2n(C[C@H](CCCC)CC)c2c3cccc2)n(c2c1cccc2)C[C@@H](CCCC)CC)c1ccc(s1)c1ccc(c2c1nsn2)c1ccc(s1)c1ccc2c(c1)n(C[C@H](CCCC)CC)c1c2c2n(C[C@@H](CCCC)CC)c3c(c2c2c1c1ccccc1n2C[C@H](CCCC)CC)cccc3)CC,2.7
5,CCCC[C@@H](Cn1c2cc(ccc2c2c1c1c3ccccc3n(c1c1c2n(C[C@@H](CCCC)CC)c2c1cccc2)C[C@H](CCCC)CC)c1ccc(s1)c1ncc(c2c1nsn2)c1ccc(s1)c1ccc2c(c1)n(C[C@@H](CCCC)CC)c1c2c2c(c3c1c1ccccc1n3C[C@@H](CCCC)CC)c1c(n2C[C@H](CCCC)CC)cccc1)CC,2.9
6,CCCC[C@H](Cn1c2cc(ccc2c2c1c1c(c3c2n(C[C@H](CCCC)CC)c2c3cccc2)n(c2c1cccc2)C[C@@H](CCCC)CC)c1ccc(s1)[C@@H]1[S]=C(c2c1nsn2)c1ccc(s1)c1ccc2c(c1)n(C[C@H](CCCC)CC)c1c2c2n(C[C@@H](CCCC)CC)c3c(c2c2c1c1ccccc1n2C[C@H](CCCC)CC)cccc3)CC,0.5
7,N#C[C](c1nc(c(s1)[CH]c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccccc1)C#N,1.55
7,N#C[C](c1nc(c(s1)[CH]c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccccc1)C#N,3.52
8,N#C[C](c1nc(c(s1)[CH]c1ccc(cc1)N(Cc1ccccc1)Cc1ccccc1)c1ccccc1)C#N,1.72
9,N#C[C](c1nc(c(s1)[CH]c1ccc(cc1)N(c1cccc2c1cccc2)c1ccccc1)c1ccccc1)C#N,1.48
10,CCCC[C@H](C[Si]1(C[C@H](CCCC)CC)c2cc(sc2c2c1cc(s2)c1c(F)cc(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC)c1c(F)cc(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC)CC,2.09
11,CCCC[C@H](CSc1ccc(s1)c1c2cc(sc2c(c2c1sc(c2)c1sc(c(c1)CCCCCCCC)c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C\1/SC(=S)N(C1=O)CC)c1ccc(s1)SC[C@H](CCCC)CC)c1sc(c(c1)CCCCCCCC)c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C\1/SC(=S)N(C1=O)CC)CC,9.2
12,CCCCCCc1ccc(c2c1C1=N/C/2=C\c2[nH]c(c3c2c(CCCCCC)ccc3CCCCCC)/C=C\2/N=C(/C=c\3/[nH]/c(=C\1)/c1c(CCCCCC)ccc(c31)CCCCCC)c1c(CCCCCC)ccc(c21)CCCCCC)CCCCCC,1.4
13,CCCCCCc1ccc(c2c1/C/1=C\c3[nH]c(c4c3c(CCCCCC)ccc4CCCCCC)/N=C/3\N=C(/C=c/4\[nH]/c(=C/C2=N1)/c1c(CCCCCC)ccc(c41)CCCCCC)c1c3c(CCCCCC)ccc1CCCCCC)CCCCCC,2.4
14,CCCCCC[C]1C=C[C](C2=C1C1=N/C/2=N\c2[nH]c(c3c2c(CCCCCC)ccc3CCCCCC)/C=C\2/N=C(/C=c\3/[nH]/c(=N\1)/c1c(CCCCCC)ccc(c31)CCCCCC)c1c(CCCCCC)ccc(c21)CCCCCC)CCCCCC,2.8
15,CCCC[C@H](Cc1cc(sc1c1ccc(s1)c1sc(cc1C[C@@H](CCCC)CC)c1c(F)c(F)c(c2c1nsn2)c1cc(c(s1)c1ccc(s1)/C=C\1/SC(N(C1=O)CC)[C](C#N)C#N)C[C@@H](CCCC)CC)c1c(F)c(F)c(c2c1nsn2)c1cc(c(s1)c1ccc(s1)[CH]C1SC(=C(C#N)C#N)N(C1=O)CC)C[C@@H](CCCC)CC)CC,5.16
16,CCCC[C@H](COc1c2sc(cc2c(c2c1cc(s2)c1c(F)cc(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC)OC[C@H](CCCC)CC)c1c(F)cc(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC)CC,4.08
17,CCCCCCc1ccc(s1)c1ccc(s1)c1cc(F)c(c2c1nsn2)c1cc2c(s1)c(C#C[Si](C(C)C)(C(C)C)C(C)C)c1c(c2C#C[Si](C(C)C)(C(C)C)C(C)C)sc(c1)c1c(F)cc(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC,5.69
18,CCCC[C@H](COc1ccc(cc1)c1c2cc(sc2c(c2c1sc(c2)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1ccc(s1)/C=C(/C(=O)OCCCCCCCC)\C#N)c1ccc(cc1)OC[C@H](CCCC)CC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1ccc(s1)/C=C(/C(=O)OCCCCCCCC)\C#N)CC,4.34
19,CCCC[C@H](Cc1ccc(s1)c1c2sc(cc2c(c2c1cc(s2)c1ccc2c(c1)N(C[C@H](CCCC)CC)C(=O)/C/2=C\c1ccc(s1)c1ccc(s1)CCCCCC)c1ccc(s1)C[C@H](CCCC)CC)c1ccc2c(c1)N(C[C@H](CCCC)CC)C(=O)/C/2=C\c1ccc(s1)c1ccc(s1)CCCCCC)CC,2.43
20,CCCCCCCCN1C(S/C(=C\c2sc(c(c2)CCCCCC)c2ccc(s2)c2sc(c(c2)CCCCCCCC)c2cc3c(s2)c(OC[C@H](CCCC)CC)c2c(c3OC[C@@H](CCCC)CC)sc(c2)c2sc(cc2CCCCCCCC)c2ccc(s2)c2sc(cc2CCCCCCCC)/C=C/2\SC(N(C2=O)CCCCCCCC)[C](C#N)C#N)/C1=O)[C](C#N)C#N,1.1
21,CCCCCCCCN1C(=O)C(SC1=C(C#N)C#N)[CH]c1sc(c(c1)CCCCCC)c1ccc(s1)c1sc(c(c1)CCCCCCCC)c1cc2c(s1)c(c1ccc(s1)C[C@H](CCCC)CC)c1c(c2c2ccc(s2)C[C@@H](CCCC)CC)sc(c1)c1sc(cc1CCCCCCCC)c1ccc(s1)c1sc(cc1CCCCCCCC)[CH]C1SC(=C(C#N)C#N)N(C1=O)CCCCCCCC,1.94
22,CCCCCCCCn1c2cc(ccc2c2c1cc(cc2)c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)[CH]C1=[S]C(=S)N(C1=O)CCCCCCCC)CCCCCCCC)c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)[CH]C1=[S]C(=S)N(C1=O)CCCCCCCC)CCCCCCCC,3.94
23,CCCCCCCCCCCCCCCCn1c2cc3sc(cc3cc2c2c1cc1sc(cc1c2)c1ccc(s1)c1sc(cc1CCCCCCCC)[CH]C1=[S]C(=S)N(C1=O)CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)/C=C\1/SC(=S)N(C1=O)CCCCCCCC,7.03
24,N#CC(=C(C(=C(C#N)C#N)c1ccc(c2c1nsn2)n1c2ccccc2c2c1cccc2)c1ccc(cc1)N(c1ccccc1)c1ccccc1)C#N,2.76
25,N#C[C](c1ccc(cc1)[C](C(=C(C#N)C#N)c1ccc(c2c1nsn2)n1c2ccccc2c2c1cccc2)c1ccc(cc1)N(c1ccccc1)c1ccccc1)C#N,3.61
26,N#CC(=C(c1ccc(c2c1nsn2)C#Cc1c2ccccc2cc2c1cccc2)C(=C(C#N)C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1)C#N,3.15
27,N#CC(=C(C(=C(C#N)C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)c1sc2c(n1)cccc2)C#N,2.56
28,N#CC(=C([C](c1ccc(cc1)[C](C#N)C#N)c1ccc(cc1)c1sc2c(n1)cccc2)c1ccc(cc1)N(c1ccccc1)c1ccccc1)C#N,3.68
29,CCCC[C@H](Cn1c2ccc(cc2c2c1cccc2)c1nsnc(c1=O)c1ccc2c(c1)c1ccccc1n2C[C@H](CCCC)CC)CC,0.01
30,CCCC[C@H](Cn1c2ccc(cc2c2c1cccc2)c1ccc(s1)c1nsnc(c1=O)c1ccc(s1)c1ccc2c(c1)c1ccccc1n2C[C@H](CCCC)CC)CC,2.09
31,CCCC[C@H](Cc1cc(sc1c1ccc(s1)[CH]C1SC(=C(C#N)C#N)N(C1=O)CC)c1c(F)c(F)c(c2c1nsn2)c1cc(c(s1)c1ccc(s1)/C=C\1/SC(N(C1=O)CC)[C](C#N)C#N)C[C@@H](CCCC)CC)CC,4.26
32,CCCC[C@H](Cn1c2ccc(cc2c2c1cccc2)c1ccc(s1)c1ccc(s1)c1nsnc(c1=O)c1ccc(s1)c1ccc(s1)c1ccc2c(c1)c1ccccc1n2C[C@H](CCCC)CC)CC,2.23
33,CCCCCCCCOc1c2[S]=C(Cc2c(c2c1cc(s2)c1sc(cc1CCCCCC)c1c(F)c(F)c(c2c1nn(n2)CCCCCCCC)c1scc(c1)CCCCCC)OCCCCCCCC)c1sc(cc1CCCCCC)c1c(F)c(F)c(c2c1nn(n2)CCCCCCCC)c1scc(c1)CCCCCC,2.43
34,CCCCCCCCOc1c2[S]=C(Cc2c(c2c1cc(s2)c1sc(cc1CCCCCC)c1cc(F)c(c2c1nn(n2)CCCCCCCC)c1scc(c1)CCCCCC)OCCCCCCCC)c1sc(cc1CCCCCC)c1cc(F)c(c2c1nn(n2)CCCCCCCC)c1scc(c1)CCCCCC,3.25
35,CCCCCCCCOc1c2[S]=C(Cc2c(c2c1cc(s2)c1sc(cc1CCCCCC)c1ccc(c2c1nn(n2)CCCCCCCC)c1scc(c1)CCCCCC)OCCCCCCCC)c1sc(cc1CCCCCC)c1ccc(c2c1nn(n2)CCCCCCCC)c1scc(c1)CCCCCC,1.71
36,CCCCCCCCc1ccc(s1)c1c2sc(cc2c(c2c1cc(s2)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)/C=C(\C(=O)OCCCCCCCC)/C#N)c1ccc(s1)CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)/C=C(\C(=O)OCCCCCCCC)/C#N,2.58
37,s1nc2c(n1)c(ccc2c1ccc(s1)c1ccc2c(c1)cccc2)c1ccc(s1)c1ccc2c(c1)cccc2,3.11
38,s1nc2c(n1)c(ccc2c1ccc(s1)c1cc2c(s1)cccc2)c1ccc(s1)c1cc2c(s1)cccc2,4.13
39,CCCCCC[C@@H](Cc1ccc(s1)C1=C2CCC3N2[Zn@]24n5c1ccc5C(=C1N2C(CC1)C(=c1n4c(=C3C#Cc2ccc(s2)c2n(C[C@@H](CCCC)CC)c(=O)c3c2c(=O)n(c3c2cccs2)C[C@@H](CCCC)CC)cc1)c1ccc(s1)C[C@H](CCCCCC)CCCC)C#Cc1ccc(s1)c1n(C[C@H](CCCC)CC)c(=O)c2c1c(=O)n(c2c1cccs1)C[C@H](CCCC)CC)CCCC,12.08
40,CCCCCCCCCCCCc1cc(sc1c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(c2c1nsn2)/C=C/c1ccc(cc1)N(c1ccc(cc1)/C=C/c1ccc(c2c1nsn2)c1cc(c(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)CCCCCCCCCCCC)c1ccccc1,1.04
41,CCCCCCCCCCCCc1cc(sc1c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(c2c1nsn2)/C=C/c1ccc(cc1)N(c1ccc(cc1)C=C(C#N)C#N)c1ccccc1,1.51
42,CCCCCCCCCCCCc1cc(sc1c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(c2c1nsn2)/C=C/c1ccc(cc1)N(c1ccc(cc1)/C=C(\c1ccc(cc1)N(=O)=O)/C#N)c1ccccc1,1.14
43,CCCC[C@H](COc1c2sc(cc2c(c2c1cc(s2)c1ccc(c2c1nsn2)/C=C/N(c1ccc(cc1)/C=C(/c1ccc(cc1)N(=O)=O)\C#N)c1ccccc1)OC[C@H](CCCC)CC)c1ccc(c2c1nsn2)/C=C/N(c1ccc(cc1)/C=C(/c1ccc(cc1)N(=O)=O)\C#N)c1ccccc1)CC,1.27
44,N#CC(=Cc1cnc(nc1)c1cc2c(s1)c1c(C2(Cc2ccccc2)Cc2ccccc2)cc(cc1)N(c1ccc(cc1)C)c1ccc(cc1)C)C#N,3.29
45,CCCCCCCCc1cc(sc1c1ccc(s1)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)[CH]C1SC(=C(C#N)C#N)N(C1=O)CC)c1sc(cc1CCCCCCCC)[CH]C1SC(=C(C#N)C#N)N(C1=O)CC,9.8
46,CCCCCCC[C@H](Cc1sc(c2c1C(=O)c1c(sc(c1C2=O)c1ccc(s1)/C=C/1\SC(=S)N(C1=O)CC)c1ccc(s1)c1sc2c(c1)c(c1ccc(s1)C[C@@H](CCCC)CC)c1c(c2c2ccc(s2)C[C@H](CCCC)CC)cc(s1)c1ccc(s1)c1sc(c2c1C(=O)c1c(C2=O)c(sc1C[C@@H](CCCCCC)CCCC)C[C@H](CCCCCC)CCCC)c1ccc(s1)[CH]C1=[S]C(=S)N(C1=O)CC)C[C@H](CCCCCC)CCCC)CCCC,7.8
47,CCCCCCCCc1cc(sc1c1ccc(s1)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)/C=C/1\SC(N(C1=O)CC)[C](C#N)C#N)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)/C=C/1\SC(N(C1=O)CC)[C](C#N)C#N,9.05
48,CCCCCCCCc1cc(sc1c1cc(c(s1)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)[CH]C1SC(=C(C#N)C#N)N(C1=O)CC)CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)/C=C/1\SC(N(C1=O)CC)[C](C#N)C#N,6.37
49,CCCCCCCCc1cc(sc1c1cc(c(s1)c1cc(c(s1)c1cc(c(s1)c1cc(c(s1)/C=C/1\SC(N(C1=O)CC)[C](C#N)C#N)CCCCCCCC)CCCCCCCC)CCCCCCCC)CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)/C=C/1\SC(N(C1=O)CC)[C](C#N)C#N,7.62
50,CCCC[C@H](CN1C(=O)/C(=C/2\c3sc(cc3N(C2=O)C[C@@H](CCCC)CC)c2ccccc2)/c2c1cc(s2)c1ccccc1)CC,0.07
51,CCCCC[C@H](CN1C(=O)/C(=C/2\c3sc(cc3N(C2=O)C[C@@H](CCCC)CC)c2ccc3c(c2)cccc3)/c2c1cc(s2)c1ccc2c(c1)cccc2)CC,0.22
52,CCCC[C@H](CN1C(=O)/C(=C/2\c3sc(cc3N(C2=O)C[C@H](CCCC)CC)c2occ3c2cccc3)/c2c1cc(s2)c1occ2c1cccc2)CC,0.31
53,c1csc(c1)/C=C/c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)/C=C/c1cccs1)c1ccc(cc1)c1ccc(s1)/C=C/c1cccs1,0.63
53,c1csc(c1)/C=C/c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)/C=C/c1cccs1)c1ccc(cc1)c1ccc(s1)/C=C/c1cccs1,1.43
54,CCN1C(=S)N(CC)C(=O)C(=Cc2ccc(s2)c2ccc(cc2)N(c2ccc(cc2)c2ccc(s2)C=C2C(=O)N(CC)C(=S)N(C2=O)CC)c2ccc(cc2)c2ccc(s2)C=C2C(=O)N(CC)C(=S)N(C2=O)CC)C1=O,0.27
54,CCN1C(=S)N(CC)C(=O)C(=Cc2ccc(s2)c2ccc(cc2)N(c2ccc(cc2)c2ccc(s2)C=C2C(=O)N(CC)C(=S)N(C2=O)CC)c2ccc(cc2)c2ccc(s2)C=C2C(=O)N(CC)C(=S)N(C2=O)CC)C1=O,0.85
55,CCCC[C@H](COC(=O)/C(=C/c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)/C=C(/C(=O)OC[C@@H](CCCC)CC)\C#N)c1ccc(cc1)c1ccc(s1)/C=C(/C(=O)OC[C@@H](CCCC)CC)\C#N)/C#N)CC,0.6
55,CCCC[C@H](COC(=O)/C(=C/c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)/C=C(/C(=O)OC[C@@H](CCCC)CC)\C#N)c1ccc(cc1)c1ccc(s1)/C=C(/C(=O)OC[C@@H](CCCC)CC)\C#N)/C#N)CC,0.91
56,CCCC[C@H](Cc1ccc(s1)c1c2sc(cc2c(c2c1cc(s2)c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C/1\SC(=S)N(C1=O)CC(=O)OC[C@H](CCCC)CC)CCCCCCCC)c1ccc(s1)C[C@@H](CCCC)CC)c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C/1\SC(=S)N(C1=O)CC(=O)OC[C@H](CCCC)CC)CCCCCCCC)CC,8.03
57,CCCC[C@@H](Cc1ccc(s1)c1c2cc(sc2c(c2c1sc(c2)c1ccc(s1)c1n(C[C@H](CCCC)CC)c(=O)c2c1c(=O)n(c2c1ccc(s1)c1ccc(cc1)F)C[C@H](CCCC)CC)c1ccc(s1)C[C@H](CCCC)CC)c1ccc(s1)c1n(C[C@H](CCCC)CC)c(=O)c2c1c(=O)n(c2c1ccc(s1)c1ccc(cc1)F)C[C@H](CCCC)CC)CC,4.64
58,CCCC[C@@H](Cc1ccc(s1)c1c2cc(sc2c(c2c1sc(c2)c1ccc(s1)c1n(C[C@H](CCCC)CC)c(=O)c2c1c(=O)n(c2c1ccc(s1)c1ccc(cc1)C(F)(F)F)C[C@H](CCCC)CC)c1ccc(s1)C[C@H](CCCC)CC)c1ccc(s1)c1n(C[C@H](CCCC)CC)c(=O)c2c1c(=O)n(c2c1ccc(s1)c1ccc(cc1)C(F)(F)F)C[C@H](CCCC)CC)CC,5.87
59,CCCCCCc1ccc(cc1)C#Cc1c2ccccc2c(c2c1cc(cc2)c1ccc2c(c1)cccc2)C#Cc1ccc(cc1)CCCCCC,2.23
60,CCCCCCc1ccc(cc1)C#Cc1c2ccccc2c(c2c1cc(cc2)c1ccc(s1)c1ccc2c(c1)cccc2)C#Cc1ccc(cc1)CCCCCC,4.3
61,N#CC(=Cc1ccc(s1)c1ccc(s1)c1ccc(s1)N(c1ccc2c(c1)Cc1c2cccc1)c1ccc(cc1)c1ccccc1)C#N,1.33
63,CCCC[C@H](Cn1c(=O)c2c(c1c1ccc(s1)c1ccc(cc1C)OC(C)C)c(=O)n(c2c1ccc(s1)c1ccc(cc1C)OC(C)C)C[C@H](CCCC)CC)CC,2.89
64,CCCC[C@H](Cn1c(=O)c2c(c1c1ccc(s1)c1ccc(c(c1OC)OC)OC)c(=O)n(c2c1ccc(s1)c1ccc(c(c1OC)OC)OC)C[C@H](CCCC)CC)CC,3.55
65,CCCC[C@H](Cn1c(=O)c2c(c1c1ccc(s1)c1cc(cc(c1)C(C)(C)C)C(C)(C)C)c(=O)n(c2c1ccc(s1)c1cc(cc(c1)C(C)(C)C)C(C)(C)C)C[C@H](CCCC)CC)CC,3.05
66,CCCCCCCCOc1cccc(c1C1=C2CCC3N2[Zn@]24n5c1ccc5C(=C1N2C(CC1)C(=c1n4c(=C3C#Cc2sc(c(c2)CCCCCCCC)c2ccc(s2)c2sc(cc2CCCCCCCC)/C=C\2/SC(=S)N(C2=O)CC)cc1)c1c(OCCCCCCCC)cccc1OCCCCCCCC)C#Cc1sc(c(c1)CCCCCCCC)c1ccc(s1)c1sc(cc1CCCCCCCC)[CH]C1=[S]C(=S)N(C1=O)CC)OCCCCCCCC,4.46
67,CCCC[C@H](Cc1ccc(s1)c1c2sc(cc2c(c2c1cc(s2)c1ccc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)c1ccc(s1)C[C@H](CCCC)CC)c1ccc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)CC,5.38
68,CCCC[C@H](COc1c2sc(cc2c(c2c1cc(s2)c1ccc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)OC[C@H](CCCC)CC)c1ccc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)CC,4.56
69,N#CC(=Cc1ccc(s1)C#CC1=C2CCC3N2[Zn@@]24n5c1ccc5C(=C1N2C(CC1)C(=c1n4c(=C3c2cc(cc(c2)C(C)(C)C)C(C)(C)C)cc1)C#Cc1ccc(s1)C=C(C#N)C#N)c1cc(cc(c1)C(C)(C)C)C(C)(C)C)C#N,5.24
70,CCCCCCCCN1C(=S)[S]=C(C1=O)[CH]c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)c1sc2c(c1)c(c1ccc(s1)C[C@H](CCCC)CC)c1c(c2c2ccc(s2)C[C@H](CCCC)CC)cc(s1)c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)[CH]C1=[S]C(=S)N(C1=O)C[C@@H](CCCC)CC)CCCCCCCC)CCCCCCCC,6.76
71,CCCCCCCCN1C(=O)S/C(=C\c2cc(c(s2)c2ccc(s2)c2sc(cc2CCCCCCCC)c2sc3c(c2)c(c2ccc(s2)C[C@H](CCCC)CC)c2c(c3c3ccc(s3)C[C@H](CCCC)CC)cc(s2)c2cc(c(s2)c2ccc(s2)c2sc(cc2CCCCCCCC)[CH]C2=[S]C(=O)N(C2=O)C[C@@H](CCCC)CC)CCCCCCCC)CCCCCCCC)/C1=O,5.25
